source,target,value
1,ACC,5
1,Big 12,2
1,Big Ten,4
1,Other,7
1,Pac12,3
1,SEC,11
2,ACC,3
2,Big 12,1
2,Big Ten,6
2,Other,9
2,Pac12,6
2,SEC,7
3,ACC,7
3,Big 12,2
3,Big Ten,6
3,Other,11
3,Pac12,5
3,SEC,5
4,ACC,13
4,Big 12,2
4,Big Ten,4
4,Other,10
4,Pac12,8
4,SEC,3
5,ACC,3
5,Big 12,2
5,Big Ten,5
5,Other,11
5,Pac12,5
5,SEC,10
6,ACC,5
6,Big 12,3
6,Big Ten,1
6,Other,18
6,Pac12,4
6,SEC,8
7,ACC,6
7,Big 12,5
7,Big Ten,4
7,Other,18
7,Pac12,3
7,SEC,5
ACC,AFC East,7
ACC,AFC North,6
ACC,AFC South,4
ACC,AFC West,1
ACC,NFC East,5
ACC,NFC North,7
ACC,NFC South,4
ACC,NFC West,8
Big 12,AFC East,4
Big 12,AFC North,2
Big 12,AFC South,1
Big 12,AFC West,3
Big 12,NFC East,3
Big 12,NFC North,1
Big 12,NFC South,2
Big 12,NFC West,1
Big Ten,AFC East,3
Big Ten,AFC North,4
Big Ten,AFC South,5
Big Ten,AFC West,3
Big Ten,NFC East,4
Big Ten,NFC North,3
Big Ten,NFC South,5
Big Ten,NFC West,3
Other,AFC East,13
Other,AFC North,10
Other,AFC South,8
Other,AFC West,11
Other,NFC East,8
Other,NFC North,14
Other,NFC South,6
Other,NFC West,14
Pac12,AFC East,3
Pac12,AFC North,3
Pac12,AFC South,3
Pac12,AFC West,3
Pac12,NFC East,7
Pac12,NFC North,7
Pac12,NFC South,4
Pac12,NFC West,4
SEC,AFC East,6
SEC,AFC North,7
SEC,AFC South,9
SEC,AFC West,5
SEC,NFC East,4
SEC,NFC North,3
SEC,NFC South,6
SEC,NFC West,9
