Conf_Clean,Year,First_AP,Second_AP,Pro_Bowl
ACC,2010,1,5,13
ACC,2011,1,1,4
ACC,2012,5,5,10
ACC,2013,4,3,8
ACC,2014,9,2,16
ACC,2015,1,1,7
ACC,2016,4,6,11
ACC,2017,1,0,12
ACC,2018,5,7,19
ACC,2019,0,4,7
ACC,2020,0,1,0
Big 12,2010,11,7,35
Big 12,2011,5,4,12
Big 12,2012,1,0,4
Big 12,2013,2,2,7
Big 12,2014,0,0,1
Big 12,2015,1,3,4
Big 12,2016,1,3,6
Big 12,2017,2,1,7
Big 12,2018,2,0,9
Big 12,2019,0,0,2
Big 12,2020,2,2,7
Big Ten,2010,5,2,8
Big Ten,2011,8,3,15
Big Ten,2012,1,4,16
Big Ten,2013,2,7,11
Big Ten,2014,1,1,7
Big Ten,2015,2,1,14
Big Ten,2016,6,1,13
Big Ten,2017,8,7,16
Big Ten,2018,0,0,5
Big Ten,2019,1,0,8
Big Ten,2020,3,1,8
Other,2010,7,8,28
Other,2011,6,4,17
Other,2012,15,12,41
Other,2013,5,6,30
Other,2014,16,7,39
Other,2015,1,2,4
Other,2016,9,3,21
Other,2017,3,2,16
Other,2018,10,5,16
Other,2019,1,3,6
Other,2020,0,0,0
Pac12,2010,4,3,13
Pac12,2011,6,8,27
Pac12,2012,3,6,14
Pac12,2013,3,4,17
Pac12,2014,0,0,4
Pac12,2015,3,2,9
Pac12,2016,1,1,11
Pac12,2017,5,3,10
Pac12,2018,0,0,1
Pac12,2019,1,0,3
Pac12,2020,0,2,2
SEC,2010,7,7,31
SEC,2011,8,5,40
SEC,2012,3,6,22
SEC,2013,8,6,20
SEC,2014,0,11,29
SEC,2015,3,4,23
SEC,2016,4,7,23
SEC,2017,7,8,25
SEC,2018,6,7,15
SEC,2019,3,7,21
SEC,2020,2,5,11
